patient,algorithm,train_seed,test_seed,dt_requested,dt_actual,sensor,test_days,tir,tbr,tar,cv,bg_mean,bg_std,magni,action_mean,coverage,early_termination,action_max,action_min,action_std,expected_steps,insulin_max,insulin_mean,insulin_min,insulin_std,n_steps,reward_sum
adult#1,TD3-BC,0,0,1.0,1.0,Navigator,10.0,90.88194444444444,1.4861111111111112,7.631944444444444,24.97475220018664,133.50311202662473,33.342071408187095,4.053851598024184,0.020756458904232,100.0,False,0.07917407155036926,0.0,0.013503764285413134,14400,10.113942642017868,0.034004928367388956,0.0,0.30863196043382035,14400,-58375.463011548076
adult#1,PID,,0,1.0,1.0,Navigator,10.0,88.34722222222223,0.7013888888888888,10.951388888888888,25.39558988875293,138.49785691541328,35.172347746950194,3.879134612121689,0.01931798039670361,100.0,False,0.0932997539639473,0.00819049496203661,0.0031891692594064372,14400,0.0932997539639473,0.01931798039670361,0.00819049496203661,0.0031891692594064372,14400,-55859.53841455237
adult#1,PhiBE-alpha1.25,0,0,1.0,1.0,Navigator,10.0,91.33333333333333,0.9027777777777777,7.763888888888888,25.647813069902853,132.30180353773167,33.93251925946754,4.278656317590752,0.021077967122546396,100.0,False,0.058187223970890045,0.0,0.011458527889578253,14400,10.415869417866492,0.034202156796115636,0.0,0.3070736298212453,14400,-61612.65097330652
adult#1,TD3-BC,0,0,3.0,3.0,Dexcom,10.0,66.10416666666666,0.10416666666666667,33.791666666666664,23.862060016028703,158.73989982012782,37.87861016446274,3.847309168958249,0.025334218837282,100.0,False,0.0634336918592453,0.0,0.009514357776139269,4800,1.2377425854482504,0.02988449713566768,0.0,0.06579388144799263,4800,-18467.084010999595
adult#1,PID,,0,3.0,3.0,Dexcom,10.0,59.5,0.0,40.5,23.028588814320067,166.04784660268638,38.23847582916558,4.189758987963361,0.0238658818451889,100.0,False,0.09192387759685516,-0.0052860495634377,0.008205172688375763,4800,0.09192387759685516,0.0238658818451889,-0.0052860495634377,0.008205172688375763,4800,-20110.84314222419
adult#1,PhiBE-alpha1.25,0,0,3.0,3.0,Dexcom,10.0,64.08333333333334,0.04166666666666667,35.875,23.61528432904226,160.87845126901658,37.99190369133796,3.880166243917015,0.025014181803756703,100.0,False,0.07549214363098145,0.0,0.010220106456008472,4800,1.3094351126413084,0.02955419550581545,0.0,0.0660542035761832,4800,-18624.797970801654
adult#1,TD3-BC,0,0,5.0,5.0,GuardianRT,10.0,56.21527777777777,0.034722222222222224,43.75,22.21272565081453,170.7614805469387,37.93077919116052,4.498429500175302,0.025022023613241295,100.0,False,0.08010213822126389,0.0,0.010181636168828489,2880,0.56698374637767,0.02819195325578802,-0.02594638191296636,0.03790423040574829,2880,-12955.476960504859
adult#1,PID,,0,5.0,5.0,GuardianRT,10.0,51.24999999999999,0.0,48.75,21.85988811471328,175.7706996763401,38.42327828769664,4.935692489951424,0.023893406355359224,100.0,False,0.09045164287090302,-0.02522479183971882,0.013248997156948475,2880,0.09045164287090302,0.023893406355359224,-0.02522479183971882,0.013248997156948475,2880,-14214.794371060114
adult#1,PhiBE-alpha1.25,0,0,5.0,5.0,GuardianRT,10.0,55.52083333333333,0.0,44.479166666666664,22.58926390230113,172.07795121761725,38.871142518220566,4.684761859677763,0.024801886242413376,100.0,False,0.08189244568347931,0.0,0.010460799189313696,2880,0.615009827588855,0.02795482282229992,-0.009167226990820308,0.0383142623083005,2880,-13492.114155872003
adult#1,TD3-BC,0,1,1.0,1.0,Navigator,10.0,86.13194444444444,3.5902777777777777,10.277777777777777,28.9306206963487,131.1781161471977,37.95064321916151,5.593567826218427,0.02049574433049808,100.0,False,0.0746115893125534,0.0,0.01301564172921473,14400,10.675082452016408,0.033951605841387844,0.0,0.312963847713664,14400,-80547.37669754475
adult#1,PID,,1,1.0,1.0,Navigator,10.0,82.9236111111111,2.7708333333333335,14.305555555555555,28.847643816134607,136.11639178885324,39.26637187862267,5.2711910877047865,0.0188771019737275,100.0,False,0.038718581199645996,0.00475697685033083,0.003360613712571145,14400,0.038718581199645996,0.0188771019737275,0.00475697685033083,0.003360613712571145,14400,-75905.15166294918
adult#1,PhiBE-alpha1.25,0,1,1.0,1.0,Navigator,10.0,86.29166666666667,4.513888888888888,9.194444444444445,29.67589331640551,128.61720202735415,38.16830366018336,6.188026385396485,0.021340154979843647,100.0,False,0.05723778158426285,0.0,0.011579228893218923,14400,10.533664061619653,0.03455548675101607,0.0,0.30850728832319624,14400,-89107.57994970953
adult#1,TD3-BC,0,1,3.0,3.0,Dexcom,10.0,65.45833333333333,0.10416666666666667,34.4375,25.36923565939088,160.69902956545155,40.76811551281363,4.294513735732131,0.02462171755284847,100.0,False,0.07166630029678345,0.0,0.010216409383574985,4800,1.3883046915289559,0.02944480742861445,0.0,0.06768069957814547,4800,-20613.665931514268
adult#1,PID,,1,3.0,3.0,Dexcom,10.0,60.83333333333333,0.125,39.04166666666667,26.313303588357506,163.9513695362281,43.141021603337585,4.830824716497553,0.023873184449342565,100.0,False,0.06562530249357224,-0.009669947437942028,0.00848545215644645,4800,0.06562530249357224,0.023873184449342565,-0.009669947437942028,0.00848545215644645,4800,-23187.95863918826
adult#1,PhiBE-alpha1.25,0,1,3.0,3.0,Dexcom,10.0,66.66666666666666,0.22916666666666666,33.10416666666667,26.374797620869778,158.76501244422045,41.87395072491186,4.506179258441616,0.025171349699182125,100.0,False,0.08470283448696136,0.0,0.010669612475986249,4800,1.4815727486462384,0.029813096346914883,-0.023762033971292652,0.0660160234797905,4800,-21629.660440519703
adult#1,TD3-BC,0,1,5.0,5.0,GuardianRT,10.0,58.576388888888886,0.06944444444444445,41.354166666666664,24.10461367531769,169.9732410916447,40.971393116557294,4.792448246551966,0.024885711711896068,100.0,False,0.0798564925789833,0.0,0.011376199122922639,2880,0.6378288476915671,0.0281733105214233,-0.037342941090207526,0.03824462440619401,2880,-13802.250950069641
